Scenario,30201,50102,293874,300871,301060,343310,570183,612937,789124,987034
11,784.0,741.0,784.0,789.0,769.0,788.0,775.0,804.0,754.0,782.0
12,717.0,692.0,696.0,698.0,705.0,711.0,697.0,700.0,738.0,675.0
13,816.0,780.0,819.0,821.0,799.0,811.0,818.0,812.0,784.0,815.0
14,733.0,688.0,709.0,701.0,710.0,707.0,698.0,738.0,714.0,718.0
31,849.0,835.0,842.0,857.0,880.0,861.0,862.0,872.0,820.0,844.0
32,830.0,794.0,832.0,808.0,818.0,792.0,825.0,818.0,826.0,795.0
33,917.0,894.0,913.0,925.0,935.0,876.0,897.0,887.0,920.0,908.0
34,812.0,788.0,786.0,839.0,834.0,805.0,825.0,801.0,875.0,816.0
51,859.0,836.0,841.0,857.0,846.0,889.0,864.0,879.0,820.0,844.0
52,821.0,851.0,847.0,857.0,834.0,857.0,834.0,867.0,827.0,876.0
53,933.0,923.0,896.0,913.0,919.0,915.0,914.0,899.0,918.0,932.0
54,823.0,871.0,845.0,837.0,841.0,858.0,852.0,825.0,841.0,850.0
