Scenario,n0,Mean,StdDev,HalfWidth_pilot,Target,N_required,Extra_needed
11,10,617.1,7.75,5.55,12.1,10,0
12,10,630.7,12.61,9.02,12.37,10,0
13,10,618.6,11.05,7.9,12.13,10,0
14,10,633.8,13.24,9.47,12.43,10,0
31,10,721.5,17.52,12.53,14.15,10,0
32,10,732.4,10.59,7.57,14.36,10,0
33,10,727.9,17.7,12.66,14.27,10,0
34,10,740.7,15.0,10.73,14.52,10,0
51,10,727.4,10.72,7.67,14.26,10,0
52,10,737.2,11.52,8.24,14.45,10,0
53,10,733.0,7.97,5.7,14.37,10,0
54,10,741.6,9.85,7.04,14.54,10,0
