Scenario,OrderSize,30201,50102,293874,300871,301060,343310,570183,612937,789124,987034
11,1,952.54,892.04,922.82,971.07,1136.86,1084.61,919.39,952.83,960.41,856.94
11,2,878.15,845.21,1049.67,893.48,1026.44,1006.91,1076.44,990.7,1028.2,805.64
11,3,851.22,1158.25,1020.67,847.36,819.4,1015.27,863.51,889.08,806.8,1053.62
11,4,985.39,810.49,875.56,1409.12,1180.61,768.96,1049.8,874.45,1095.16,1457.87
11,5,855.42,1159.59,127.7,645.53,1489.6,1402.19,745.21,623.6,1215.58,670.89
11,6,3105.12,540.76,990.54,,1009.41,638.61,,,205.6,
11,7,,,,,,494.27,,,,
11,Total,921.82,893.16,980.9,949.58,1061.4,1038.23,976.15,948.8,971.91,872.72
12,1,1044.59,1140.99,1008.24,1205.61,1200.14,1165.85,1044.43,1116.93,875.93,1131.73
12,2,1143.37,1084.99,1309.95,1210.3,1229.15,1084.82,1270.92,1188.1,994.9,1208.65
12,3,1247.29,1163.11,1060.93,1106.72,1218.4,1225.67,1264.26,1173.97,967.93,976.9
12,4,1119.42,1583.44,1190.27,1083.57,864.43,1075.37,950.64,965.36,1073.77,1346.82
12,5,1630.41,1264.11,1407.14,1387.74,1172.34,1148.58,1162.07,1117.03,1038.72,1189.24
12,6,1397.06,1295.76,1144.66,1087.14,575.04,1080.16,1425.48,1000.86,1037.01,3238.87
12,7,758.6,1118.33,1726.03,937.01,1127.26,1156.68,974.68,477.5,1418.85,1922.93
12,8,450.36,808.34,449.08,,868.62,,,1369.31,1605.18,1577.09
12,9,2911.98,,,3565.16,,683.23,914.36,3582.99,1572.36,1081.85
12,10,1559.71,1118.12,951.63,,,,,,,
12,11,,,1760.92,2063.1,,,,,,
12,13,,335.36,,,,,,,,
12,Total,1139.64,1152.11,1142.19,1195.31,1178.79,1137.63,1151.94,1134.78,949.23,1164.85
13,1,1310.99,1195.69,1163.29,1292.36,1371.8,1376.38,1204.28,1274.73,1191.28,1087.96
13,2,1184.38,1126.81,1286.29,1137.67,1257.38,1221.17,1359.54,1308.38,1276.6,1110.4
13,3,1259.76,1425.83,1387.77,1154.17,1066.24,1283.5,1152.34,1105.56,1172.96,1361.87
13,4,1245.13,1118.31,1268.61,1584.17,1114.89,1122.11,1386.61,1333.78,1387.51,1700.64
13,5,877.47,1365.85,201.14,742.48,1844.79,1505.25,1040.06,940.79,1510.26,1335.1
13,6,3066.24,1023.32,1478.26,,1065.58,914.0,,,330.61,
13,7,,,,,,647.97,,,,
13,Total,1257.23,1184.05,1240.98,1236.39,1286.6,1299.27,1264.53,1260.31,1221.74,1139.55
14,1,1201.63,1364.24,1214.21,1499.39,1476.21,1434.85,1269.07,1384.72,1125.53,1269.08
14,2,1358.67,1372.85,1521.29,1453.0,1505.55,1304.49,1588.23,1453.78,1248.65,1354.25
14,3,1399.28,1380.91,1351.44,1324.22,1448.39,1423.35,1504.11,1472.89,1316.67,1186.38
14,4,1220.46,1904.52,1346.29,1325.73,1083.76,1341.46,1159.02,1233.37,1463.81,1606.88
14,5,1722.05,1255.25,1107.11,1417.12,1559.5,1384.79,1397.92,1335.9,1610.29,1374.46
14,6,1807.87,1598.05,1345.1,1183.45,999.66,1293.84,1614.17,1516.84,1220.31,2673.57
14,7,853.52,1539.71,1936.38,920.35,1503.5,1377.88,927.64,484.91,1605.15,2232.81
14,8,504.0,1214.13,556.93,,687.52,,,1364.31,1864.63,1501.54
14,9,2928.73,,,3390.91,,909.31,1292.45,,1578.49,1165.13
14,10,1897.59,1164.78,1081.85,,,,,,,
14,11,,,2195.4,1925.38,,,,,,
14,13,,251.63,,,,,,,,
14,Total,1313.65,1398.4,1345.65,1441.92,1446.19,1377.28,1401.5,1394.86,1227.91,1337.73
31,1,495.17,577.08,589.64,541.89,598.57,593.66,551.47,608.44,485.05,527.37
31,2,601.43,510.16,747.14,545.02,575.4,689.77,682.41,581.13,632.18,459.64
31,3,523.57,627.87,480.42,475.76,566.19,631.11,583.64,671.1,441.55,682.58
31,4,767.0,601.12,725.48,853.29,624.97,612.72,718.43,377.27,644.84,1267.39
31,5,926.68,992.78,161.91,585.43,1284.11,1651.22,417.68,479.53,1267.39,466.37
31,6,3524.18,500.92,579.98,,411.06,502.22,,,215.58,
31,7,,,,,,341.15,,,,
31,Total,560.02,562.51,641.14,552.44,590.33,642.84,608.83,596.6,539.9,538.35
32,1,735.0,810.85,832.34,768.46,726.38,925.3,780.31,858.64,609.01,812.32
32,2,770.76,882.69,1045.44,819.05,845.79,854.03,952.15,932.82,693.78,891.02
32,3,1027.15,812.79,881.62,751.05,848.22,835.87,888.87,846.81,679.35,872.24
32,4,866.81,1466.98,980.8,680.57,656.77,1026.9,889.51,862.69,902.75,1000.94
32,5,1176.96,1258.15,1108.72,775.61,1073.02,775.35,952.29,938.72,691.62,1057.5
32,6,1108.22,874.99,906.05,1108.96,481.03,1006.08,1157.57,726.46,1082.46,837.24
32,7,492.18,1010.46,1031.51,943.17,943.72,896.61,761.08,766.98,1222.56,1698.2
32,8,452.44,923.5,735.87,,653.55,,,705.84,1397.73,783.24
32,9,3474.2,,,,,614.09,740.86,,1880.92,564.53
32,10,1180.01,1034.67,809.08,1031.06,,,,,,
32,11,,,1197.32,2231.49,,,,,,
32,13,,366.44,,,,,,,,
32,Total,833.16,890.12,923.05,790.62,785.91,893.3,865.42,878.42,680.66,883.9
33,1,906.15,880.64,989.12,957.89,1104.86,1042.09,950.01,1079.25,863.85,864.18
33,2,996.56,859.32,1084.79,926.05,1011.1,1040.05,1009.94,1026.47,1014.39,849.38
33,3,919.66,1043.89,1018.6,830.98,931.67,1070.1,952.52,973.8,855.09,1033.52
33,4,1187.13,1068.87,973.49,1254.09,959.75,920.93,1122.58,931.18,902.49,1483.76
