Scenario,n0,Mean,StdDev,HalfWidth_pilot,Target,N_required,Extra_needed
11,10,777.0,18.29,13.08,15.24,10,0
12,10,702.9,16.71,11.95,13.78,10,0
13,10,807.5,14.78,10.57,15.83,10,0
14,10,711.6,15.23,10.89,13.95,10,0
31,10,852.2,17.87,12.79,16.71,10,0
32,10,813.8,15.48,11.08,15.96,10,0
33,10,907.2,18.39,13.16,17.79,10,0
34,10,818.1,26.7,19.1,16.04,14,4
51,10,853.5,20.53,14.69,16.74,10,0
52,10,847.1,17.86,12.78,16.61,10,0
53,10,916.2,12.06,8.63,17.96,10,0
54,10,844.3,14.51,10.38,16.55,10,0
