Scenario,30201,50102,293874,300871,301060,343310,570183,612937,789124,987034
11,616.0,613.0,617.0,615.0,618.0,626.0,607.0,633.0,608.0,618.0
12,627.0,620.0,632.0,608.0,634.0,641.0,647.0,647.0,632.0,619.0
13,615.0,602.0,630.0,610.0,625.0,633.0,611.0,631.0,607.0,622.0
14,629.0,621.0,629.0,609.0,646.0,646.0,654.0,640.0,633.0,631.0
31,713.0,697.0,702.0,728.0,747.0,723.0,734.0,745.0,722.0,704.0
32,737.0,714.0,726.0,736.0,752.0,728.0,740.0,728.0,739.0,724.0
33,723.0,713.0,703.0,723.0,758.0,738.0,738.0,751.0,717.0,715.0
34,755.0,717.0,733.0,743.0,760.0,737.0,752.0,757.0,724.0,729.0
51,739.0,712.0,714.0,725.0,731.0,745.0,717.0,729.0,734.0,728.0
52,740.0,722.0,714.0,740.0,734.0,747.0,741.0,736.0,747.0,751.0
53,738.0,723.0,725.0,734.0,732.0,743.0,721.0,743.0,739.0,732.0
54,732.0,724.0,732.0,744.0,750.0,748.0,745.0,747.0,756.0,738.0
