Scenario,OrderSize,30201,50102,293874,300871,301060,343310,570183,612937,789124,987034
11,1,645.61,669.31,623.47,652.93,663.09,625.88,675.33,655.27,660.54,658.55
11,2,1158.51,1182.07,1036.63,1145.56,1122.9,1246.88,1093.82,1078.37,1164.39,1143.45
11,3,1471.8,1495.23,1373.37,1573.15,1562.96,1384.34,1396.72,1641.7,1604.59,1336.14
11,4,1697.29,1825.15,1726.33,1743.14,1677.83,1713.58,1488.02,1294.18,1251.48,1740.64
11,5,1928.26,1505.34,1373.43,1518.32,1341.67,1466.19,,1630.04,1985.43,1300.72
11,6,,2258.4,1084.65,1876.75,1529.6,,,,2569.97,1911.71
11,7,,,,,,1925.27,,,,
11,Total,934.47,937.41,865.18,937.62,932.87,959.63,923.55,933.88,929.36,918.36
12,1,648.49,615.81,699.36,659.34,660.08,701.88,639.04,632.45,686.02,638.71
12,2,1168.91,1208.92,1144.81,1133.5,1085.67,1267.44,1267.35,1139.56,1190.83,1303.61
12,3,1495.75,1483.41,1711.85,1553.8,1752.7,1618.8,1444.81,1463.9,1536.18,1657.8
12,4,1711.01,1758.22,1671.76,1435.19,1671.37,1585.67,1854.45,1543.28,1992.51,1622.84
12,5,1544.72,1296.25,1614.75,1476.26,2055.18,1412.82,1799.97,1818.91,1228.85,979.43
12,6,1437.86,2228.19,2106.76,1728.71,2697.25,2092.2,2303.45,1177.08,1656.7,1660.58
12,7,1034.05,1428.07,1251.55,1967.7,1977.1,1461.44,2056.1,1310.01,747.06,1277.38
12,8,2701.15,,2813.43,,1991.86,1164.89,,,,
12,9,,,,,1177.88,,,718.77,1195.2,
12,10,,,,2339.76,,,,2875.17,,
12,11,,,1071.39,,1935.89,,,,,
12,13,,2504.81,,,,,,,,
12,Total,969.87,957.68,1016.7,944.09,994.55,1058.27,990.78,935.19,991.62,1028.91
13,1,764.04,742.08,728.49,716.58,744.96,747.12,791.57,752.17,801.9,726.73
13,2,1236.39,1317.17,1212.53,1352.49,1303.42,1366.15,1253.95,1187.53,1235.77,1319.31
13,3,1456.92,1474.36,1414.92,1607.42,1479.38,1449.65,1382.49,1564.5,1700.25,1479.37
13,4,1218.73,1420.6,1720.77,1689.53,1488.99,1732.06,1243.31,1476.34,1016.77,1610.9
13,5,1192.92,1061.01,,1150.05,717.75,1071.65,,826.26,,782.92
13,6,,,1974.92,1673.19,2103.65,,,,,686.23
13,7,,,,,,3234.66,,,,
13,Total,971.87,974.03,954.08,991.92,987.71,1020.4,989.91,965.47,993.48,974.02
14,1,766.07,782.78,769.48,799.48,831.47,783.66,802.58,704.19,819.41,777.96
14,2,1278.37,1389.28,1247.16,1346.74,1359.54,1358.77,1400.44,1289.49,1393.3,1353.1
14,3,1444.69,1280.19,1818.61,1421.66,1512.58,1519.99,1391.5,1480.73,1594.05,1514.57
14,4,1563.69,1771.79,1451.88,1932.42,1854.99,1823.36,1464.94,1820.99,1841.06,1658.34
14,5,1466.57,2291.22,1227.97,1834.85,1859.1,1526.27,1511.73,1756.78,1747.59,1890.61
14,6,700.1,1776.05,2198.34,1800.22,2525.46,1500.79,1818.63,1776.12,1402.21,1720.49
14,7,2107.09,910.46,,2215.63,2742.73,2094.54,1068.74,3031.15,1022.88,2946.9
14,8,1570.37,,2249.34,,1885.27,632.25,,1308.35,1865.6,
14,9,2352.17,,,1040.91,1164.78,,,677.96,1062.88,
14,10,1519.26,1421.61,2048.22,1030.91,,,,,,
14,11,,,,,1016.73,,,,,
14,Total,1011.96,1063.85,1046.44,1056.14,1110.05,1086.62,1053.62,1014.91,1086.03,1102.14
31,1,657.0,618.43,602.09,661.13,637.06,637.25,624.78,622.08,586.78,620.24
31,2,1117.0,963.19,904.02,1063.61,985.36,1095.2,992.92,1102.22,921.96,941.5
31,3,1358.93,1121.86,1159.15,1244.18,1246.53,1376.5,1178.51,1456.4,1098.86,1194.44
31,4,1501.91,1237.36,1499.85,1209.4,1356.38,1584.29,1184.58,1327.13,1379.01,1301.8
31,5,1964.05,1579.23,1863.54,1168.71,1905.02,1124.88,1546.75,1320.72,1007.61,1039.87
31,6,1165.63,1766.3,1093.77,1592.87,1367.07,2181.56,,,1547.32,1278.9
31,7,,,,,,1576.57,,,,
31,Total,937.06,815.75,799.74,884.6,872.87,920.51,848.65,923.85,776.41,818.9
32,1,679.84,615.1,653.97,659.27,686.37,662.19,650.57,611.25,693.68,661.71
32,2,1168.87,1197.22,1167.99,1307.19,1129.62,1252.19,1208.9,1167.84,1161.96,1234.45
32,3,1425.62,1526.71,1329.24,1711.17,1642.45,1620.5,1425.43,1456.18,1538.74,1584.69
