Scenario,30201,50102,293874,300871,301060,343310,570183,612937,789124,987034
11,1371.133432149887,1370.9863481521606,1397.7288868427277,1345.0637300014496,1379.6461081504822,1370.8395540714264,1381.795011997223,1338.5287475585938,1391.0360605716705,1367.6681411266327
12,1346.5714001655579,1380.113578081131,1343.2921664714813,1353.0604174137115,1335.7649352550507,1344.5719141960144,1350.8715651035309,1358.3965997695923,1384.0035350322723,1365.5091817378998
13,1358.8454830646515,1346.1396961212158,1336.4198038578033,1324.7733161449432,1382.1460196971893,1361.2018873691559,1392.6186218261719,1341.400818824768,1360.1692266464233,1378.8114981651306
14,1357.9267754554749,1374.0858390331268,1343.4445657730103,1384.456407546997,1351.5615649223328,1374.0486137866974,1408.7294557094574,1357.7729976177216,1361.9864478111267,1381.0260200500488
31,1348.4235792160034,1402.715678691864,1380.134746313095,1356.0829889774323,1356.4303424358368,1378.398686170578,1378.5411052703857,1362.0207314491272,1342.3875381946564,1358.9626667499542
32,1354.103123664856,1373.9765963554382,1337.4941239356995,1349.7037603855133,1360.1349341869354,1334.886215686798,1326.9769475460052,1353.783694267273,1343.4558362960815,1355.89941573143
33,1340.0385382175446,1359.1855781078339,1388.4246633052826,1372.1105062961578,1346.6863896846771,1351.018301486969,1402.6779551506042,1409.5532627105713,1395.2437472343445,1348.2603447437286
34,1338.2023558616638,1361.626057624817,1349.6961839199066,1329.9355816841125,1335.908843278885,1350.291627407074,1341.3635792732239,1377.43923163414,1329.4723122119904,1377.373116016388
51,1356.9911561012268,1393.9735250473022,1388.704519033432,1377.63787317276,1368.93404006958,1373.9928936958313,1337.634349346161,1374.4584171772003,1355.2518367767334,1365.836741924286
52,1354.7628259658813,1340.613077878952,1333.4338674545288,1331.3594269752502,1331.988478422165,1343.8535125255585,1348.751002073288,1332.0128891468048,1331.3408570289612,1337.723773241043
53,1372.1016216278076,1364.395203113556,1374.3487799167633,1367.761694908142,1363.2520806789398,1358.867949962616,1335.9620957374573,1363.8502805233002,1352.5926547050476,1370.7861576080322
54,1356.5746531486511,1330.008355140686,1363.4332113265991,1332.1483595371246,1332.8088219165802,1347.787697315216,1352.4865334033966,1350.323608636856,1368.6055040359497,1340.0786883831024
